"title","link","date","tag"
"Bank of England maintains Bank Rate at 0.5% and size of Asset Purchase Programme at £275 billion","https://www.bankofengland.co.uk/news/2011/november/mpc-november-2011","10 November 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 5 and 6 October 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-october-2011","19 October 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and size of Asset Purchase Programme increased by £75bn to £275bn","https://www.bankofengland.co.uk/news/2011/october/mpc-october-2011","06 October 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 7 and 8 September 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-september-2011","21 September 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/september/mpc-september-2011","08 September 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 3 and 4 August 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-august-2011","17 August 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/august/mpc-august-2011","04 August 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 6 and 7 July 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-july-2011","20 July 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/july/mpc-july-2011","07 July 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 8 and 9 June 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-june-2011","22 June 2011","// News // Minutes"
"Why the Bank Rate should increase now - speech by Martin Weale","https://www.bankofengland.co.uk/news/2011/june/why-the-bank-rate-should-increase-now-speech-by-martin-weale","13 June 2011","// News // News release"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/june/mpc-june-2011","09 June 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 4 and 5 May 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-may-2011","18 May 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/may/mpc-may-2011","05 May 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 6 and 7 April 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-april-2011","20 April 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/april/mpc-april-2011","07 April 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 9 and 10 March 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-march-2011","23 March 2011","// News // Minutes"
"Bank Rate maintained at 0.5% and the size of the Asset Purchase Programme maintained at £200bn","https://www.bankofengland.co.uk/news/2011/march/mpc-march-2011","10 March 2011","// News // News release"
"Minutes of the Monetary Policy Committee Meeting held on 9 and 10 February 2011","https://www.bankofengland.co.uk/minutes/2011/monetary-policy-committee-february-2011","23 February 2011","// News // Minutes"
