,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
equilibrium,8.0,4.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
equiti,89.0,90.0,105.0,0.31690140845070425,0.31338028169014087,0.5027932960893855,0.4972067039106145
equival,16.0,6.0,24.0,0.13043478260869565,0.34782608695652173,0.2727272727272727,0.7272727272727273
eri,17.0,38.0,26.0,0.4691358024691358,0.20987654320987653,0.6909090909090909,0.3090909090909091
errat,5.0,0.0,6.0,0.0,0.45454545454545453,0.0,1.0
especi,20.0,10.0,20.0,0.2,0.4,0.3333333333333333,0.6666666666666666
estim,23.0,13.0,20.0,0.23214285714285715,0.4107142857142857,0.3611111111111111,0.6388888888888888
eu,10.0,14.0,8.0,0.4375,0.3125,0.5833333333333334,0.4166666666666667
euro,81.0,89.0,85.0,0.34901960784313724,0.3176470588235294,0.5235294117647059,0.4764705882352941
europ,11.0,4.0,4.0,0.21052631578947367,0.5789473684210527,0.26666666666666666,0.7333333333333333
european,40.0,26.0,31.0,0.26804123711340205,0.41237113402061853,0.3939393939393939,0.6060606060606061
even,17.0,14.0,26.0,0.24561403508771928,0.2982456140350877,0.45161290322580644,0.5483870967741935
event,14.0,5.0,29.0,0.10416666666666667,0.2916666666666667,0.2631578947368421,0.7368421052631579
eventu,4.0,5.0,4.0,0.38461538461538464,0.3076923076923077,0.5555555555555556,0.4444444444444444
evid,34.0,18.0,53.0,0.17142857142857143,0.3238095238095238,0.34615384615384615,0.6538461538461539
exacerb,5.0,0.0,8.0,0.0,0.38461538461538464,0.0,1.0
exampl,17.0,17.0,11.0,0.37777777777777777,0.37777777777777777,0.5,0.5
except,5.0,13.0,8.0,0.5,0.19230769230769232,0.7222222222222222,0.2777777777777778
exchang,85.0,88.0,96.0,0.3271375464684015,0.3159851301115242,0.5086705202312138,0.4913294797687861
exist,4.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
expand,7.0,1.0,8.0,0.0625,0.4375,0.125,0.875
expect,99.0,100.0,125.0,0.30864197530864196,0.3055555555555556,0.5025125628140703,0.49748743718592964
explain,11.0,18.0,22.0,0.35294117647058826,0.21568627450980393,0.6206896551724138,0.3793103448275862
explan,24.0,28.0,2.0,0.5185185185185185,0.4444444444444444,0.5384615384615384,0.46153846153846156
expo,4.0,1.0,6.0,0.09090909090909091,0.36363636363636365,0.2,0.8
export,9.0,6.0,6.0,0.2857142857142857,0.42857142857142855,0.4,0.6
exposur,10.0,5.0,6.0,0.23809523809523808,0.47619047619047616,0.3333333333333333,0.6666666666666666
extend,9.0,6.0,11.0,0.23076923076923078,0.34615384615384615,0.4,0.6
extens,4.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
extent,29.0,12.0,8.0,0.24489795918367346,0.5918367346938775,0.2926829268292683,0.7073170731707317
extern,15.0,9.0,6.0,0.3,0.5,0.375,0.625
face,17.0,4.0,11.0,0.125,0.53125,0.19047619047619047,0.8095238095238095
facil,12.0,4.0,8.0,0.16666666666666666,0.5,0.25,0.75
fact,9.0,8.0,2.0,0.42105263157894735,0.47368421052631576,0.47058823529411764,0.5294117647058824
