,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
potenti,17.0,22.0,15.0,0.4074074074074074,0.3148148148148148,0.5641025641025641,0.4358974358974359
pre,25.0,26.0,35.0,0.3023255813953488,0.29069767441860467,0.5098039215686274,0.49019607843137253
precautionari,7.0,2.0,13.0,0.09090909090909091,0.3181818181818182,0.2222222222222222,0.7777777777777778
preced,3.0,5.0,4.0,0.4166666666666667,0.25,0.625,0.375
precis,7.0,8.0,15.0,0.26666666666666666,0.23333333333333334,0.5333333333333333,0.4666666666666667
prefer,5.0,5.0,6.0,0.3125,0.3125,0.5,0.5
preliminari,37.0,50.0,26.0,0.4424778761061947,0.3274336283185841,0.5747126436781609,0.42528735632183906
premium,5.0,0.0,6.0,0.0,0.45454545454545453,0.0,1.0
prepar,9.0,4.0,2.0,0.26666666666666666,0.6,0.3076923076923077,0.6923076923076923
present,22.0,6.0,6.0,0.17647058823529413,0.6470588235294118,0.21428571428571427,0.7857142857142857
pressur,34.0,28.0,17.0,0.35443037974683544,0.43037974683544306,0.45161290322580644,0.5483870967741935
preview,26.0,12.0,6.0,0.2727272727272727,0.5909090909090909,0.3157894736842105,0.6842105263157895
previou,67.0,70.0,49.0,0.3763440860215054,0.3602150537634409,0.5109489051094891,0.48905109489051096
previous,40.0,48.0,31.0,0.40336134453781514,0.33613445378151263,0.5454545454545454,0.45454545454545453
price,103.0,104.0,101.0,0.33766233766233766,0.3344155844155844,0.5024154589371981,0.4975845410628019
primari,5.0,2.0,4.0,0.18181818181818182,0.45454545454545453,0.2857142857142857,0.7142857142857143
primarili,6.0,14.0,8.0,0.5,0.21428571428571427,0.7,0.3
prior,7.0,4.0,13.0,0.16666666666666666,0.2916666666666667,0.36363636363636365,0.6363636363636364
privat,58.0,52.0,38.0,0.35135135135135137,0.3918918918918919,0.4727272727272727,0.5272727272727272
probabl,42.0,40.0,35.0,0.3418803418803419,0.358974358974359,0.4878048780487805,0.5121951219512195
problem,9.0,4.0,4.0,0.23529411764705882,0.5294117647058824,0.3076923076923077,0.6923076923076923
proce,3.0,4.0,4.0,0.36363636363636365,0.2727272727272727,0.5714285714285714,0.42857142857142855
process,8.0,13.0,2.0,0.5652173913043478,0.34782608695652173,0.6190476190476191,0.38095238095238093
produc,11.0,10.0,13.0,0.29411764705882354,0.3235294117647059,0.47619047619047616,0.5238095238095238
product,75.0,57.0,65.0,0.2893401015228426,0.38071065989847713,0.4318181818181818,0.5681818181818182
profil,12.0,22.0,8.0,0.5238095238095238,0.2857142857142857,0.6470588235294118,0.35294117647058826
profit,31.0,14.0,22.0,0.208955223880597,0.4626865671641791,0.3111111111111111,0.6888888888888889
programm,6.0,9.0,2.0,0.5294117647058824,0.35294117647058826,0.6,0.4
progress,4.0,4.0,6.0,0.2857142857142857,0.2857142857142857,0.5,0.5
project,64.0,65.0,49.0,0.3651685393258427,0.3595505617977528,0.5038759689922481,0.49612403100775193
promis,1.0,8.0,2.0,0.7272727272727273,0.09090909090909091,0.8888888888888888,0.1111111111111111
prone,13.0,12.0,13.0,0.3157894736842105,0.34210526315789475,0.48,0.52
pronounc,16.0,8.0,11.0,0.22857142857142856,0.45714285714285713,0.3333333333333333,0.6666666666666666
properti,25.0,17.0,22.0,0.265625,0.390625,0.40476190476190477,0.5952380952380952
proport,16.0,12.0,26.0,0.2222222222222222,0.2962962962962963,0.42857142857142855,0.5714285714285714
prospect,46.0,58.0,31.0,0.42962962962962964,0.34074074074074073,0.5576923076923077,0.4423076923076923
prove,19.0,20.0,20.0,0.3389830508474576,0.3220338983050847,0.5128205128205128,0.48717948717948717
provid,36.0,44.0,40.0,0.36666666666666664,0.3,0.55,0.45
provision,12.0,8.0,15.0,0.22857142857142856,0.34285714285714286,0.4,0.6
public,33.0,22.0,20.0,0.29333333333333333,0.44,0.4,0.6
publish,23.0,17.0,8.0,0.3541666666666667,0.4791666666666667,0.425,0.575
purchas,68.0,60.0,56.0,0.32608695652173914,0.3695652173913043,0.46875,0.53125
push,6.0,4.0,11.0,0.19047619047619047,0.2857142857142857,0.4,0.6
put,17.0,5.0,8.0,0.16666666666666666,0.5666666666666667,0.22727272727272727,0.7727272727272727
puzzl,17.0,20.0,6.0,0.46511627906976744,0.3953488372093023,0.5405405405405406,0.4594594594594595
q,94.0,100.0,98.0,0.3424657534246575,0.3219178082191781,0.5154639175257731,0.4845360824742268
quarter,103.0,106.0,96.0,0.3475409836065574,0.3377049180327869,0.507177033492823,0.49282296650717705
quarterli,55.0,50.0,40.0,0.3448275862068966,0.3793103448275862,0.47619047619047616,0.5238095238095238
question,20.0,18.0,17.0,0.32727272727272727,0.36363636363636365,0.47368421052631576,0.5263157894736842
quickli,18.0,12.0,6.0,0.3333333333333333,0.5,0.4,0.6
quit,23.0,29.0,13.0,0.4461538461538462,0.35384615384615387,0.5576923076923077,0.4423076923076923
quot,9.0,5.0,8.0,0.22727272727272727,0.4090909090909091,0.35714285714285715,0.6428571428571429
rais,18.0,29.0,22.0,0.42028985507246375,0.2608695652173913,0.6170212765957447,0.3829787234042553
rang,28.0,18.0,22.0,0.2647058823529412,0.4117647058823529,0.391304347826087,0.6086956521739131
rapid,27.0,17.0,13.0,0.2982456140350877,0.47368421052631576,0.38636363636363635,0.6136363636363636
rapidli,23.0,21.0,6.0,0.42,0.46,0.4772727272727273,0.5227272727272727
