,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
subdu,90.0,73.0,83.0,0.2967479674796748,0.36585365853658536,0.44785276073619634,0.5521472392638037
subject,22.0,29.0,38.0,0.3258426966292135,0.24719101123595505,0.5686274509803921,0.43137254901960786
subsequ,65.0,45.0,60.0,0.2647058823529412,0.38235294117647056,0.4090909090909091,0.5909090909090909
substanti,92.0,101.0,80.0,0.36996336996337,0.336996336996337,0.5233160621761658,0.47668393782383417
substitut,10.0,9.0,6.0,0.36,0.4,0.47368421052631576,0.5263157894736842
subtract,3.0,8.0,20.0,0.25806451612903225,0.0967741935483871,0.7272727272727273,0.2727272727272727
succeed,4.0,5.0,2.0,0.45454545454545453,0.36363636363636365,0.5555555555555556,0.4444444444444444
success,31.0,29.0,26.0,0.3372093023255814,0.36046511627906974,0.48333333333333334,0.5166666666666667
sudden,5.0,1.0,8.0,0.07142857142857142,0.35714285714285715,0.16666666666666666,0.8333333333333334
suffer,5.0,2.0,6.0,0.15384615384615385,0.38461538461538464,0.2857142857142857,0.7142857142857143
suffici,60.0,64.0,53.0,0.3615819209039548,0.3389830508474576,0.5161290322580645,0.4838709677419355
suggest,119.0,119.0,118.0,0.3342696629213483,0.3342696629213483,0.5,0.5
suitabl,3.0,8.0,2.0,0.6153846153846154,0.23076923076923078,0.7272727272727273,0.2727272727272727
sum,5.0,4.0,4.0,0.3076923076923077,0.38461538461538464,0.4444444444444444,0.5555555555555556
summari,5.0,6.0,8.0,0.3157894736842105,0.2631578947368421,0.5454545454545454,0.45454545454545453
summer,42.0,26.0,53.0,0.21487603305785125,0.34710743801652894,0.38235294117647056,0.6176470588235294
supplement,4.0,1.0,6.0,0.09090909090909091,0.36363636363636365,0.2,0.8
suppli,113.0,105.0,112.0,0.3181818181818182,0.3424242424242424,0.481651376146789,0.518348623853211
supplier,12.0,4.0,6.0,0.18181818181818182,0.5454545454545454,0.25,0.75
support,100.0,96.0,103.0,0.3210702341137124,0.33444816053511706,0.4897959183673469,0.5102040816326531
suppos,3.0,5.0,6.0,0.35714285714285715,0.21428571428571427,0.625,0.375
sure,10.0,5.0,4.0,0.2631578947368421,0.5263157894736842,0.3333333333333333,0.6666666666666666
surplu,11.0,12.0,11.0,0.35294117647058826,0.3235294117647059,0.5217391304347826,0.4782608695652174
surplus,5.0,6.0,8.0,0.3157894736842105,0.2631578947368421,0.5454545454545454,0.45454545454545453
surpris,63.0,56.0,67.0,0.3010752688172043,0.3387096774193548,0.47058823529411764,0.5294117647058824
surprisingli,32.0,26.0,29.0,0.2988505747126437,0.367816091954023,0.4482758620689655,0.5517241379310345
surround,37.0,33.0,22.0,0.358695652173913,0.40217391304347827,0.4714285714285714,0.5285714285714286
survey,119.0,119.0,118.0,0.3342696629213483,0.3342696629213483,0.5,0.5
surveyor,46.0,25.0,8.0,0.31645569620253167,0.5822784810126582,0.352112676056338,0.647887323943662
sushil,22.0,1.0,4.0,0.037037037037037035,0.8148148148148148,0.043478260869565216,0.9565217391304348
sustain,100.0,100.0,98.0,0.33557046979865773,0.33557046979865773,0.5,0.5
swap,40.0,33.0,71.0,0.22916666666666666,0.2777777777777778,0.4520547945205479,0.547945205479452
swing,4.0,5.0,2.0,0.45454545454545453,0.36363636363636365,0.5555555555555556,0.4444444444444444
switch,11.0,14.0,15.0,0.35,0.275,0.56,0.44
symptom,8.0,1.0,4.0,0.07692307692307693,0.6153846153846154,0.1111111111111111,0.8888888888888888
system,36.0,18.0,47.0,0.1782178217821782,0.3564356435643564,0.3333333333333333,0.6666666666666666
tabl,10.0,1.0,0.0,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.9090909090909091
tactic,8.0,4.0,6.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666
tail,11.0,1.0,11.0,0.043478260869565216,0.4782608695652174,0.08333333333333333,0.9166666666666666
take,107.0,92.0,96.0,0.31186440677966104,0.36271186440677966,0.4623115577889447,0.5376884422110553
taken,89.0,88.0,89.0,0.3308270676691729,0.33458646616541354,0.4971751412429379,0.5028248587570622
tankan,12.0,17.0,0.0,0.5862068965517241,0.41379310344827586,0.5862068965517241,0.41379310344827586
target,118.0,119.0,116.0,0.3371104815864023,0.3342776203966006,0.5021097046413502,0.4978902953586498
tariff,11.0,0.0,15.0,0.0,0.4230769230769231,0.0,1.0
tax,56.0,65.0,51.0,0.37790697674418605,0.32558139534883723,0.5371900826446281,0.4628099173553719
technic,6.0,1.0,4.0,0.09090909090909091,0.5454545454545454,0.14285714285714285,0.8571428571428571
technolog,30.0,16.0,11.0,0.2807017543859649,0.5263157894736842,0.34782608695652173,0.6521739130434783
tell,10.0,8.0,6.0,0.3333333333333333,0.4166666666666667,0.4444444444444444,0.5555555555555556
