,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
tim,17.0,3.0,2.0,0.13636363636363635,0.7727272727272727,0.15,0.85
time,101.0,75.0,50.0,0.33185840707964603,0.4469026548672566,0.42613636363636365,0.5738636363636364
togeth,40.0,33.0,30.0,0.32038834951456313,0.3883495145631068,0.4520547945205479,0.547945205479452
took,15.0,5.0,11.0,0.16129032258064516,0.4838709677419355,0.25,0.75
tool,6.0,2.0,5.0,0.15384615384615385,0.46153846153846156,0.25,0.75
top,3.0,4.0,6.0,0.3076923076923077,0.23076923076923078,0.5714285714285714,0.42857142857142855
total,29.0,21.0,16.0,0.3181818181818182,0.4393939393939394,0.42,0.58
toward,45.0,31.0,24.0,0.31,0.45,0.40789473684210525,0.5921052631578947
track,19.0,10.0,7.0,0.2777777777777778,0.5277777777777778,0.3448275862068966,0.6551724137931034
trade,53.0,48.0,33.0,0.3582089552238806,0.39552238805970147,0.4752475247524752,0.5247524752475248
transit,12.0,13.0,9.0,0.38235294117647056,0.35294117647058826,0.52,0.48
transmiss,8.0,3.0,4.0,0.2,0.5333333333333333,0.2727272727272727,0.7272727272727273
treasuri,10.0,6.0,8.0,0.25,0.4166666666666667,0.375,0.625
trend,41.0,37.0,19.0,0.38144329896907214,0.422680412371134,0.47435897435897434,0.5256410256410257
trigger,5.0,4.0,2.0,0.36363636363636365,0.45454545454545453,0.4444444444444444,0.5555555555555556
trough,3.0,4.0,6.0,0.3076923076923077,0.23076923076923078,0.5714285714285714,0.42857142857142855
tucker,33.0,47.0,7.0,0.5402298850574713,0.3793103448275862,0.5875,0.4125
turn,43.0,26.0,25.0,0.2765957446808511,0.4574468085106383,0.37681159420289856,0.6231884057971014
twelv,23.0,10.0,12.0,0.2222222222222222,0.5111111111111111,0.30303030303030304,0.696969696969697
two,72.0,52.0,43.0,0.31137724550898205,0.4311377245508982,0.41935483870967744,0.5806451612903226
u,43.0,21.0,17.0,0.25925925925925924,0.5308641975308642,0.328125,0.671875
uk,91.0,70.0,49.0,0.3333333333333333,0.43333333333333335,0.43478260869565216,0.5652173913043478
ultim,11.0,5.0,8.0,0.20833333333333334,0.4583333333333333,0.3125,0.6875
unanim,71.0,38.0,46.0,0.24516129032258063,0.45806451612903226,0.3486238532110092,0.6513761467889908
uncertain,40.0,23.0,27.0,0.25555555555555554,0.4444444444444444,0.36507936507936506,0.6349206349206349
uncertainti,77.0,56.0,41.0,0.3218390804597701,0.4425287356321839,0.42105263157894735,0.5789473684210527
unchang,42.0,33.0,19.0,0.35106382978723405,0.44680851063829785,0.44,0.56
unclear,24.0,16.0,8.0,0.3333333333333333,0.5,0.4,0.6
underli,52.0,24.0,17.0,0.25806451612903225,0.5591397849462365,0.3157894736842105,0.6842105263157895
underpin,12.0,5.0,9.0,0.19230769230769232,0.46153846153846156,0.29411764705882354,0.7058823529411765
undershoot,22.0,8.0,3.0,0.24242424242424243,0.6666666666666666,0.26666666666666666,0.7333333333333333
undertak,8.0,5.0,6.0,0.2631578947368421,0.42105263157894735,0.38461538461538464,0.6153846153846154
underway,5.0,1.0,5.0,0.09090909090909091,0.45454545454545453,0.16666666666666666,0.8333333333333334
undesir,4.0,7.0,5.0,0.4375,0.25,0.6363636363636364,0.36363636363636365
unemploy,41.0,27.0,37.0,0.2571428571428571,0.3904761904761905,0.39705882352941174,0.6029411764705882
unexpect,12.0,6.0,5.0,0.2608695652173913,0.5217391304347826,0.3333333333333333,0.6666666666666666
unexpectedli,8.0,3.0,6.0,0.17647058823529413,0.47058823529411764,0.2727272727272727,0.7272727272727273
unfold,3.0,9.0,3.0,0.6,0.2,0.75,0.25
union,12.0,8.0,11.0,0.25806451612903225,0.3870967741935484,0.4,0.6
unit,89.0,60.0,45.0,0.30927835051546393,0.4587628865979381,0.40268456375838924,0.5973154362416108
unless,8.0,3.0,2.0,0.23076923076923078,0.6153846153846154,0.2727272727272727,0.7272727272727273
unlik,28.0,28.0,15.0,0.39436619718309857,0.39436619718309857,0.5,0.5
unsecur,8.0,4.0,2.0,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.6666666666666666
unsustain,5.0,6.0,1.0,0.5,0.4166666666666667,0.5454545454545454,0.45454545454545453
unusu,16.0,13.0,6.0,0.37142857142857144,0.45714285714285713,0.4482758620689655,0.5517241379310345
unwarr,4.0,7.0,3.0,0.5,0.2857142857142857,0.6363636363636364,0.36363636363636365
unwind,10.0,7.0,10.0,0.25925925925925924,0.37037037037037035,0.4117647058823529,0.5882352941176471
