,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
tackl,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
tactic,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
tail,4.0,0.0,2.0,3.0167248788912643e-05,0.0,-4.0,0.0,0.6666666666666666
taint,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
take,17.0,7.0,14.0,0.0,0.0,-10.0,0.18421052631578946,0.4473684210526316
taken,15.0,12.0,15.0,0.0,0.0,-3.0,0.2857142857142857,0.35714285714285715
takeov,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
talk,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
tap,0.0,1.0,1.0,0.0,8.463077764967617e-06,1.0,0.5,0.0
taper,1.0,1.0,0.0,5.027874798152107e-06,8.463077764967617e-06,0.0,0.5,0.5
target,26.0,19.0,22.0,0.0,0.0,-7.0,0.2835820895522388,0.3880597014925373
tax,11.0,2.0,6.0,0.0,0.0,-9.0,0.10526315789473684,0.5789473684210527
teacher,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
technic,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
technolog,3.0,1.0,0.0,2.5139373990760535e-05,8.463077764967617e-06,-2.0,0.25,0.75
telecom,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
telecommun,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
tell,1.0,1.0,0.0,5.027874798152107e-06,8.463077764967617e-06,0.0,0.5,0.5
temporari,4.0,8.0,6.0,0.0,0.0,4.0,0.4444444444444444,0.2222222222222222
temporarili,2.0,2.0,0.0,2.0111499192608427e-05,1.6926155529935234e-05,0.0,0.5,0.5
ten,20.0,20.0,53.0,0.0,0.0,0.0,0.21505376344086022,0.21505376344086022
tend,6.0,7.0,7.0,0.0,0.0,1.0,0.35,0.3
tendenc,1.0,1.0,0.0,5.027874798152107e-06,8.463077764967617e-06,0.0,0.5,0.5
tender,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
tenor,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
tension,8.0,3.0,6.0,0.0,0.0,-5.0,0.17647058823529413,0.47058823529411764
tent,1.0,0.0,6.0,1.0055749596304214e-05,0.0,-1.0,0.0,0.14285714285714285
term,184.0,280.0,207.0,0.0,0.0,96.0,0.4172876304023845,0.27421758569299554
terrorist,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
test,2.0,2.0,3.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
testimoni,1.0,2.0,0.0,5.027874798152107e-06,1.6926155529935234e-05,1.0,0.6666666666666666,0.3333333333333333
tfsme,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
th,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
tha,0.0,2.0,0.0,0.0,4.586160952753039e-05,2.0,1.0,0.0
theme,1.0,1.0,0.0,1.0055749596304214e-05,8.463077764967617e-06,0.0,0.5,0.5
thereaft,2.0,2.0,8.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
