,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
stand,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
standard,9.0,12.0,5.0,0.0,0.0,3.0,0.46153846153846156,0.34615384615384615
start,23.0,17.0,20.0,0.0,0.0,-6.0,0.2833333333333333,0.38333333333333336
state,7.0,5.0,13.0,0.0,0.0,-2.0,0.2,0.28
statement,1.0,0.0,1.0,8.336667489912712e-06,0.0,-1.0,0.0,0.5
statist,7.0,8.0,7.0,0.0,0.0,1.0,0.36363636363636365,0.3181818181818182
statistician,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
statutori,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stay,3.0,3.0,0.0,2.084166872478178e-05,1.8675496771203864e-05,0.0,0.5,0.5
steadi,11.0,4.0,3.0,0.0,0.0,-7.0,0.2222222222222222,0.6111111111111112
steadier,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
steadili,5.0,5.0,1.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453
steel,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
steep,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
steeper,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
steepli,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
steer,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
stem,1.0,4.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.16666666666666666
step,0.0,1.0,1.0,0.0,6.225165590401289e-06,1.0,0.5,0.0
sterl,64.0,67.0,85.0,0.0,0.0,3.0,0.3101851851851852,0.2962962962962963
stigma,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
still,34.0,46.0,19.0,0.0,0.0,12.0,0.46464646464646464,0.3434343434343434
stimul,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
stimulu,0.0,2.0,0.0,0.0,3.3734312915449675e-05,2.0,1.0,0.0
stock,1.0,5.0,7.0,0.0,0.0,4.0,0.38461538461538464,0.07692307692307693
stockbuild,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stockpil,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stocktak,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
stood,6.0,2.0,9.0,0.0,0.0,-4.0,0.11764705882352941,0.35294117647058826
stop,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
store,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
stori,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
straightforward,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
strateg,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
