,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
ii,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
iii,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
illus,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
illustr,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
imbal,7.0,1.0,3.0,0.0,0.0,-6.0,0.09090909090909091,0.6363636363636364
imf,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
immedi,7.0,9.0,23.0,0.0,0.0,2.0,0.23076923076923078,0.1794871794871795
immin,1.0,3.0,0.0,3.1415695970827313e-06,1.4016284881057144e-05,2.0,0.75,0.25
immun,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
impact,59.0,63.0,78.0,0.0,0.0,4.0,0.315,0.295
impair,1.0,3.0,0.0,3.1415695970827313e-06,1.4016284881057144e-05,2.0,0.75,0.25
impart,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
imped,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
impedi,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
impetu,3.0,1.0,0.0,1.2566278388330925e-05,4.672094960352381e-06,-2.0,0.25,0.75
imping,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
implaus,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
implement,3.0,1.0,12.0,0.0,0.0,-2.0,0.0625,0.1875
impli,58.0,67.0,46.0,0.0,0.0,9.0,0.391812865497076,0.3391812865497076
implic,31.0,21.0,27.0,0.0,0.0,-10.0,0.26582278481012656,0.3924050632911392
import,47.0,62.0,68.0,0.0,0.0,15.0,0.3502824858757062,0.2655367231638418
importantli,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
impos,1.0,2.0,0.0,3.1415695970827313e-06,9.344189920704762e-06,1.0,0.6666666666666666,0.3333333333333333
imposs,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
imprecis,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
impress,0.0,2.0,0.0,0.0,2.531818809868201e-05,2.0,1.0,0.0
improv,42.0,76.0,78.0,0.0,0.0,34.0,0.3877551020408163,0.21428571428571427
inabl,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
inaccur,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
inadequ,0.0,2.0,0.0,0.0,2.531818809868201e-05,2.0,1.0,0.0
inaugur,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
incent,2.0,3.0,0.0,9.424708791248192e-06,1.4016284881057144e-05,1.0,0.6,0.4
incept,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
incid,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
incipi,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
inclin,2.0,0.0,2.0,9.424708791248192e-06,0.0,-2.0,0.0,0.5
includ,40.0,43.0,46.0,0.0,0.0,3.0,0.3333333333333333,0.31007751937984496
inclus,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
incom,99.0,113.0,104.0,0.0,0.0,14.0,0.3575949367088608,0.31329113924050633
incomplet,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
inconclus,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
inconsist,4.0,1.0,2.0,0.0,0.0,-3.0,0.14285714285714285,0.5714285714285714
incorpor,13.0,13.0,7.0,0.0,0.0,0.0,0.3939393939393939,0.3939393939393939
