,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
best,30.0,14.0,19.0,0.0,0.0,-16.0,0.2222222222222222,0.47619047619047616
better,24.0,8.0,14.0,0.0,0.0,-16.0,0.17391304347826086,0.5217391304347826
beyond,17.0,9.0,18.0,0.0,0.0,-8.0,0.20454545454545456,0.38636363636363635
bia,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
bid,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
big,5.0,0.0,0.0,4.67988787803385e-05,0.0,-5.0,0.0,1.0
bigger,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
biggest,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bill,5.0,0.0,2.0,1.727207372403902e-05,0.0,-5.0,0.0,0.7142857142857143
billion,78.0,97.0,127.0,0.0,0.0,19.0,0.3211920529801324,0.2582781456953642
billon,0.0,1.0,1.0,0.0,3.5070255333628336e-06,1.0,0.5,0.0
birthday,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
bit,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
blanchflow,15.0,4.0,2.0,0.0,0.0,-11.0,0.19047619047619047,0.7142857142857143
bleaker,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
bloc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blow,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
blue,4.0,2.0,4.0,0.0,0.0,-2.0,0.2,0.4
bn,1.0,6.0,1.0,0.0,0.0,5.0,0.75,0.125
board,1.0,1.0,0.0,4.934878206868291e-06,3.5070255333628336e-06,0.0,0.5,0.5
bold,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
bolder,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
bolster,3.0,6.0,5.0,0.0,0.0,3.0,0.42857142857142855,0.21428571428571427
bond,20.0,32.0,105.0,0.0,0.0,12.0,0.20382165605095542,0.12738853503184713
bonu,5.0,3.0,0.0,1.727207372403902e-05,1.05210766000885e-05,-2.0,0.375,0.625
bonus,5.0,0.0,2.0,1.727207372403902e-05,0.0,-5.0,0.0,0.7142857142857143
book,4.0,2.0,4.0,0.0,0.0,-2.0,0.2,0.4
boom,2.0,0.0,0.0,2.0056662334430786e-05,0.0,-2.0,0.0,1.0
